Attribute	Label	Weight
word.suffix2:òd	B-PER	1.898452
word.prefix3:Gòd	B-PER	1.898452
word.prefix2:Gò	B-PER	1.898452
word.lower():ketrien	B-PER	1.889745
word.lower():veuregen	B-PER	1.886467
word.suffix3:oan	O	1.883548
word.lower():gullen	B-MISC	1.882178
word.prefix3:Gul	B-MISC	1.882178
word.suffix3:rus	B-PER	1.881948
word.prefix2:Ch	B-ORG	1.878426
word.prefix3:Teu	B-PER	1.876221
word.lower():kretas	B-PER	1.87499
word.wordshape():Xxx	O	1.869419
word.suffix3:tas	B-PER	1.862227
word.prefix2:Fr	B-PER	1.858085
word.lower():mien	O	1.856486
prev_word.lower():mor	O	1.847805
prev_word.lower():aale	O	1.844693
word.prefix2:Oa	B-PER	1.843355
word.suffix2:ef	O	1.842948
word.lower():belgie	B-LOC	1.841482
word.prefix3:Ber	B-PER	1.840891
word.prefix3:Jon	O	1.84014
word.lower():lienie	B-PER	1.839833
word.lower():muike	O	1.829556
word.lower():knoal	B-LOC	1.828179
word.lower():willem	B-PER	1.824638
word.prefix3:Oom	O	1.824615
word.prefix3:Jan	B-MISC	1.821975
word.lower():zoltkamp	B-LOC	1.814065
word.lower():snijwitje	B-MISC	1.812106
word.suffix3:tad	B-LOC	1.810789
word.suffix2:kt	O	1.809963
word.prefix2:Tr	B-PER	1.80941
word.lower():joa	O	1.808485
word.suffix2:lt	O	1.807195
word.prefix3:Gle	B-LOC	1.804288
word.lower():köningskinder	I-MISC	1.803582
prev_word.lower():twy	I-MISC	1.803582
word.suffix3:del	O	1.802451
next_word.lower():tou	I-LOC	1.801417
word.suffix3:end	B-MISC	1.796367
word.suffix3:dag	B-MISC	1.796016
word.lower():luken	B-PER	1.789472
word.suffix3:ien	B-PER	1.787745
next_word.lower():riek	B-MISC	1.787719
word.suffix3:oot	B-LOC	1.785457
word.lower():stoffer	B-PER	1.78364
word.prefix3:Boe	O	1.781165
word.lower():neitil	B-LOC	1.778478
prev_word.lower():in	B-LOC	1.777432
prev_word.isdigit()	I-MISC	1.775736
word.lower():biene	B-PER	1.774356
next_word.lower():over	B-LOC	1.773538
word.lower():herodes	B-PER	1.772283
word.lower():oomke	O	1.771508
word.suffix3:uts	B-MISC	1.762959
prev_word.lower():oal	B-PER	1.760262
word.lower():stadion	I-LOC	1.757428
word.wordshape():Xxxxxxxxxxxxxxx	B-MISC	1.756596
word.prefix3:Lou	B-PER	1.756515
word.lower():wilm	B-PER	1.755381
word.suffix3:ilm	B-PER	1.755381
word.suffix3:aid	O	1.755305
prev_word.lower():laive	O	1.754549
word.suffix3:weg	B-LOC	1.747716
word.suffix2:be	B-PER	1.747715
word.lower():galileoa	B-LOC	1.745546
word.suffix3:eoa	B-LOC	1.745546
word.prefix3:Vra	B-MISC	1.743654
word.prefix3:Mui	O	1.741689
word.prefix3:Pai	B-PER	1.738173
word.prefix2:Hi	B-PER	1.737975
next_word.lower():ommeland	I-LOC	1.735754
word.suffix2:ds	B-MISC	1.735465
word.prefix3:Boa	O	1.73396
word.lower():munsterlander	B-PER	1.731717
word.prefix3:Rei	B-PER	1.730503
word.lower():hoogelandsters	B-MISC	1.730194
word.suffix3:AID	I-MISC	1.727392
word.suffix2:ID	I-MISC	1.727392
word.prefix3:Jan	B-PER	1.723278
word.suffix3:fer	B-PER	1.721597
word.lower():stadjeder	B-MISC	1.720607
word.prefix3:Ver	O	1.720536
next_word.lower():;	B-MISC	1.70872
word.suffix3:Joa	O	1.70804
word.suffix3:aod	O	1.707634
word.lower():rozerood	B-PER	1.705038
word.suffix2:oo	B-LOC	1.703063
word.lower():hooghaorlemmerdieks	B-MISC	1.70306
word.prefix2:Pe	B-ORG	1.702676
word.lower():anna	B-PER	1.696369
word.lower():ommeland	I-LOC	1.696328
next_word.lower():boven	B-ORG	1.693966
word.prefix2:am	B-MISC	1.693254
word.lower():pollerlaand	B-LOC	1.693233
word.prefix3:Pol	B-LOC	1.693233
word.prefix3:Com	O	1.686684
word.prefix3:Kno	B-LOC	1.685987
word.lower():dikemoa	B-PER	1.684933
word.wordshape():xxxxx	B-PER	1.682756
word.suffix3:örg	B-LOC	1.679786
word.suffix3:erk	B-PER	1.678093
word.lower():meneer	O	1.676345
word.suffix3:pke	B-PER	1.672777
word.prefix2:li	B-LOC	1.672768
next_word.lower():feestveurstellen	O	1.672653
prev_word.lower():gain	B-MISC	1.668036
word.suffix3:aos	B-PER	1.665807
next_word.lower():om	B-LOC	1.665627
word.prefix3:sta	B-PER	1.665232
word.suffix3:dag	I-MISC	1.664775
word.suffix2:ug	I-MISC	1.664213
word.lower():isreliet	B-MISC	1.663789
word.prefix3:Eng	B-PER	1.662867
word.lower():stad	B-LOC	1.653588
word.prefix3:twa	B-MISC	1.65012
prev_word.lower():laivm	B-PER	1.649676
word.suffix3:oar	B-MISC	1.648924
word.prefix3:soa	B-PER	1.647578
