Attribute	Label	Weight
word.wordshape():XXXXXX	I-PER	1.133152
prev_word.lower():wet	I-MISC	1.132414
word.lower():pzn	B-LOC	1.13214
word.suffix3:Pzn	B-LOC	1.13214
next_word.lower():te	B-MISC	1.132103
word.prefix3:Oab	B-PER	1.131331
word.suffix3:bel	B-PER	1.131308
word.lower():dâm	I-LOC	1.131083
word.suffix3:Dâm	I-LOC	1.131083
word.suffix2:âm	I-LOC	1.131083
word.prefix3:Dâm	I-LOC	1.131083
word.prefix2:Dâ	I-LOC	1.131083
word.suffix2:zn	B-LOC	1.129379
next_word.lower():dâm	B-LOC	1.128412
next_word.lower():oomke	B-PER	1.128379
word.prefix3:God	B-PER	1.126221
next_word.lower():schut	B-PER	1.12379
word.lower():lommeke	B-MISC	1.123138
word.suffix3:ten	B-PER	1.123054
word.suffix3:ste	O	1.122752
word.lower():edelvrouwe	O	1.122517
word.prefix3:Ede	O	1.122517
next_word.lower():baone	B-MISC	1.122055
word.suffix3:nen	I-LOC	1.121287
word.prefix2:Vr	O	1.120365
word.suffix3:nds	B-MISC	1.118962
word.lower():neijoarswens	O	1.118204
word.suffix3:amp	B-LOC	1.118057
word.prefix3:Hen	B-PER	1.117129
word.lower():blijhamsterstroate	B-LOC	1.116508
next_word.lower():mozes	I-MISC	1.116021
next_word.lower():hoag	B-LOC	1.113635
word.lower():vrouger	O	1.113076
word.prefix2:Gr	B-MISC	1.112566
next_word.lower():de	I-PER	1.112049
word.lower():leo	B-PER	1.110891
word.suffix3:Leo	B-PER	1.110891
word.prefix3:Leo	B-PER	1.110891
word.wordshape():xxxxxxxxxxxxxxxxxxx	B-MISC	1.110718
word.lower():belgen	B-MISC	1.110679
word.prefix3:Men	O	1.110489
word.lower():stadsmeneer	O	1.110264
next_word.lower():luipen	B-MISC	1.10975
word.prefix2:Ti	B-PER	1.109529
word.lower():tijs	B-PER	1.109441
word.prefix3:Tij	B-PER	1.109441
word.suffix3:rke	B-PER	1.108416
word.suffix2:mp	B-LOC	1.107809
word.suffix3:EMA	B-PER	1.107509
word.suffix2:MA	B-PER	1.107509
word.suffix3:nao	B-PER	1.106083
word.lower():wetholder	B-PER	1.10597
next_word.lower():rugge	B-PER	1.10597
prev_word.lower():.	I-PER	1.104948
word.suffix3:pie	B-PER	1.103598
word.prefix3:omm	I-LOC	1.102359
word.suffix3:oul	I-ORG	1.102168
word.prefix3:Gal	B-LOC	1.102059
word.prefix3:Waa	O	1.101376
word.suffix3:eek	O	1.101185
next_word.lower():grieze	B-MISC	1.100514
next_word.lower():kerk	B-ORG	1.099628
word.suffix3:aël	B-PER	1.097074
word.lower():28sten	B-MISC	1.096162
word.wordshape():ddxxxx	B-MISC	1.096162
word.lower():christus	B-PER	1.096137
word.lower():paizerweg	I-LOC	1.095897
word.lower():slotens	B-MISC	1.095112
word.prefix3:Isr	B-MISC	1.095068
word.lower():paor	O	1.09366
word.prefix2:Ma	I-ORG	1.093618
word.lower():kloàs	B-PER	1.093573
word.suffix3:oàs	B-PER	1.093573
word.suffix2:às	B-PER	1.093573
word.lower():holwierder	B-LOC	1.092831
word.suffix3:weg	I-LOC	1.092546
word.lower():doomnie	O	1.091296
word.prefix2:de	I-PER	1.09111
next_word.lower():heurde	B-LOC	1.090843
word.suffix2:èn	B-MISC	1.089343
